word, meaning, partOfSpeech
gnawn, bite or chew on with the teeth, verb
hosting, be the host of or for, verb
industrialize, organize (the production of something) into an industry, verb
delete, remove or make invisible, verb
leapfrogging, jump across, verb
tarrying, be about, verb
unstring, remove the strings from, verb
junking, dispose of (something useless or old), verb
gradate, arrange according to grades, verb
stow, fill by packing tightly, verb
scarred, mark with a scar, verb
ticked, make a clicking or ticking sound, verb
subsidize, support through subsidies, verb
leapt, move forward by leaps and bounds, verb
consign, commit forever; commit irrevocably, verb
fleshings, remove adhering flesh from (hides) when preparing leather manufacture, verb
muckrake, explore and expose misconduct and scandals concerning public figures, verb
extended, extend in scope or range or area, verb
pour, cause to run, verb
reverberate, ring or echo with sound, verb
slipped, move stealthily, verb
cherish, be fond of; be attached to, verb
precede, be earlier in time; go back further, verb
hyperbolize, to enlarge beyond bounds or the truth, verb
commingle, mix or blend, verb
trisected, cut in three, verb
rotating, turn on or around an axis or a center, verb
indict, accuse formally of a crime, verb
unbraid, undo the braids of, verb
oversee, watch and direct, verb
unlash, untie the lashing of, verb
syllogize, reason by syllogisms, verb
condescending, behave in a patronizing and condescending manner, verb
pacify, cause to be more favorably inclined; gain the good will of, verb
disjointed, part; cease or break association with, verb
masticate, grind and knead, verb
fancify, make more beautiful, verb
overcrowd, cause to crowd together too much, verb
diverting, turn aside; turn away from, verb
outsmart, beat through cleverness and wit, verb
woosh, move with a sibilant sound, verb
incite, give an incentive for action, verb
puzzled, be a mystery or bewildering to, verb
misadvise, give bad advice to, verb
replicated, bend or turn backward, verb
exonerate, pronounce not guilty of criminal charges, verb
bossing, raise in a relief, verb
prescribe, issue commands or orders for, verb
sensibilize, make sensitive or aware, verb
worded, put into words or an expression, verb
illuminating, make lighter or brighter, verb
sawn, cut with a saw, verb
unsex, deprive of sex or sexual powers, verb
fragmented, break or cause to break into pieces, verb
shucking, remove from the shell, verb
inculpate, suggest that someone is guilty, verb
corning, feed (cattle) with corn, verb
immaterialize, render immaterial or incorporeal, verb
perplexing, be a mystery or bewildering to, verb
surviving, continue to live through hardship or adversity, verb
luminesce, be or become luminescent; exhibit luminescence, verb
shored, serve as a shore to, verb
imbricate, place so as to overlap, verb
knotting, make into knots; make knots out of, verb
entrench, fix firmly or securely, verb
colonize, settle as a colony; of countries in the developing world, verb
revive, cause to regain consciousness, verb
entangled, entrap, verb
weatherproofed, make resistant to bad weather, verb
resolved, bring to an end; settle conclusively, verb
fulfill, put in effect, verb
stayed, stay the same; remain in a certain state, verb
clustered, come together as in a cluster or flock, verb
ginning, separate the seeds from (cotton) with a cotton gin, verb
scrapped, dispose of (something useless or old), verb
sizzling, make a sound like frying fat, verb
procrastinate, postpone doing what one should be doing, verb
calculated, make a mathematical calculation or computation, verb
gruntle, cause to be more favorably inclined; gain the good will of, verb
submit, refer for judgment or consideration, verb
evict, expel or eject without recourse to legal process, verb
sacked, plunder (a town) after capture, verb
abutting, lie adjacent to another or share a boundary, verb
pervade, spread or diffuse through, verb
untied, undo the ties of, verb
sorrowing, feel grief, verb
deceiving, be false to; be dishonest with, verb
reface, put a new facing on (a garment), verb
indue, give qualities or abilities to, verb
digested, convert food into absorbable substances, verb
canning, preserve in a can or tin, verb
intersperse, place at intervals in or among, verb
teethe, grow teeth; cut the baby teeth, verb
embalm, preserve a dead body, verb
cede, give over; surrender or relinquish to the physical control of another, verb
hobnailed, supply with hobnails, verb
celebrated, behave as expected during of holidays or rites, verb
nictate, briefly shut the eyes, verb
dressed, put on clothes, verb
burred, remove the burrs from, verb
humanize, make more humane, verb
presaging, indicate by signs, verb
squared, make square, verb
lamented, express grief verbally, verb
overstate, to enlarge beyond bounds or the truth, verb
toughen, make tough or tougher, verb
circumstantiate, give circumstantial evidence for, verb
incarnadine, make flesh-colored, verb
buckled, fasten with a buckle or buckles, verb
predispose, make susceptible, verb
buckling, fasten with a buckle or buckles, verb
renegotiate, negociate anew, verb
dehorn, prevent the growth of horns of certain animals, verb
overbalance, weigh more heavily, verb
align, place in a line or arrange so as to be parallel or straight, verb
neaten, put (things or places) in order, verb
personify, invest with or as with a body; give body to, verb
unchurched, exclude from a church or a religious community, verb
amend, make amendments to, verb
perpetuate, cause to continue or prevail, verb
specialized, become more focus on an area of activity or field of study, verb
capering, jump about playfully, verb
received, get something; come into possession of, verb
recuperate, regain or make up for, verb
circumvent, surround so as to force to give up, verb
fielded, catch or pick up (balls) in baseball or cricket, verb
enchanting, hold spellbound, verb
reconfirm, confirm again, verb
factoress, resolve into factors, verb
stridulate, make a shrill creaking noise by rubbing together special bodily structures, verb
infatuate, arouse unreasoning love or passion in and cause to behave in an irrational way, verb
revolving, turn on or around an axis or a center, verb
